dataset,method,n_estimators,eta,cost_budget,accuracy,f1,AUC,recourse,validity,cost
FICO,RABIT,100,1.28,0.2,0.6981361426256077,0.7016419703644373,0.7668465047991917,0.9866288492706645,0.9714285714285714,0.06205127924417598
FICO,Vanilla,100,0.01,0.2,0.7179902755267423,0.7123966942148761,0.7775960101456598,0.6952998379254457,0.38961038961038963,0.289465895399549
FICO,Vanilla,100,0.02,0.2,0.7167747163695299,0.7122272540139976,0.7769513818725267,0.7042139384116693,0.40310711365494684,0.2883363319392376
FICO,Vanilla,100,0.04,0.2,0.7127228525121556,0.7104940792160065,0.7756016092026606,0.7236628849270664,0.43308395677472983,0.27966611280758064
FICO,Vanilla,100,0.08,0.2,0.7090761750405187,0.7116465863453815,0.7725606739917488,0.7678282009724473,0.5068846815834768,0.2457108915111895
FICO,Vanilla,100,0.16,0.2,0.6981361426256077,0.7100038925652005,0.767242490738402,0.8290113452188006,0.6103416435826408,0.196833974095635
FICO,Vanilla,100,0.32,0.2,0.6717990275526742,0.6991084695393759,0.7583821409025849,0.9039708265802269,0.753125,0.13898561249626057
FICO,Vanilla,100,0.64,0.2,0.6499189627228525,0.6964160224877021,0.7469853761471752,0.9623176661264181,0.8846153846153846,0.10032646927128275
FICO,Vanilla,100,1.28,0.2,0.6260129659643436,0.6912010705921713,0.7345183969015745,0.9878444084278768,0.9547511312217195,0.07865533884745349
FICO,OAF,100,0.01,0.2,0.6993517017828201,0.6938943894389439,0.7578855140186916,0.7726904376012966,0.5431596091205212,0.21062339404165356
FICO,OAF,100,0.02,0.2,0.696515397082658,0.6924024640657084,0.7574342742274985,0.7811993517017828,0.5562859490550535,0.203540391929287
FICO,OAF,100,0.04,0.2,0.6957050243111832,0.6943426943426944,0.7564666740338469,0.8038897893030794,0.594979079497908,0.1895912139432336
FICO,OAF,100,0.08,0.2,0.6904376012965965,0.6934189406099518,0.7542736223372906,0.8480551053484603,0.6767241379310345,0.15989752899488738
FICO,OAF,100,0.16,0.2,0.6815235008103727,0.6934477379095164,0.7499164614380736,0.9027552674230146,0.7794117647058824,0.128673139198398
FICO,OAF,100,0.32,0.2,0.6564019448946515,0.6852264291017075,0.7428814620695461,0.9627228525121556,0.9039665970772442,0.10040364713001924
FICO,OAF,100,0.64,0.2,0.6450567260940032,0.6884779516358464,0.7339480982150375,0.9866288492706645,0.9607142857142857,0.08049094888688571
FICO,OAF,100,1.28,0.2,0.6288492706645057,0.6860863605209048,0.7246411130756925,0.9955429497568882,0.9850136239782016,0.06730987889779928
FICO,RABIT,100,0.01,0.2,0.7127228525121556,0.7051975051975052,0.775204307695546,0.8338735818476499,0.6712109061748196,0.17044620169514246
FICO,RABIT,100,0.02,0.2,0.7111021069692058,0.7045171985080813,0.7745484970952261,0.8893841166936791,0.7796610169491526,0.127979552139208
FICO,RABIT,100,0.04,0.2,0.7078606158833063,0.702680412371134,0.7736098393954701,0.9270664505672609,0.8533007334963325,0.09743871180752953
FICO,RABIT,100,0.08,0.2,0.703808752025932,0.700777732296357,0.772341631935674,0.9461102106969206,0.8899917287014061,0.0789817030319694
FICO,RABIT,100,0.16,0.2,0.7009724473257699,0.7012145748987855,0.7703932758693273,0.9643435980551054,0.9255499153976311,0.06473228415299394
FICO,RABIT,100,0.32,0.2,0.7021880064829822,0.7065868263473054,0.7674233813252505,0.9764991896272285,0.949433304272014,0.055025315931638556
FICO,RABIT,100,0.64,0.2,0.6969205834683955,0.7078125,0.7624952639555443,0.9886547811993517,0.9743589743589743,0.04896234594057295
FICO,RABIT,100,1.28,0.2,0.679902755267423,0.6993911719939118,0.755237275827229,0.993517017828201,0.984375,0.04289154024691258
FICO,Vanilla,100,0.01,0.2,0.7139384116693679,0.704602510460251,0.7825813547192053,0.6722042139384117,0.3589540412044374,0.3204019336585615
FICO,Vanilla,100,0.02,0.2,0.7111021069692058,0.7032875572201415,0.7820123716005726,0.679902755267423,0.36749399519615694,0.31410220348136464
FICO,Vanilla,100,0.04,0.2,0.7090761750405187,0.7042833607907742,0.7807829733939547,0.6977309562398704,0.39052287581699346,0.3027510676542049
FICO,Vanilla,100,0.08,0.2,0.7042139384116693,0.7049312853678253,0.7783781152647975,0.7439222042139384,0.4634974533106961,0.2631807637537343
FICO,Vanilla,100,0.16,0.2,0.6940842787682334,0.704732107938991,0.7739229445567062,0.8233387358184765,0.6018264840182649,0.19818927657146243
FICO,Vanilla,100,0.32,0.2,0.6819286871961102,0.7080699144663444,0.766676138755578,0.9076175040518638,0.7632398753894081,0.13458240253999354
FICO,Vanilla,100,0.64,0.2,0.6551863857374393,0.7006683081252199,0.7570349993685275,0.9655591572123177,0.8949320148331273,0.08742384016933759
FICO,Vanilla,100,1.28,0.2,0.6219611021069692,0.6899302093718843,0.7460519807190369,0.9894651539708266,0.9595645412130638,0.06473676380487736
FICO,OAF,100,0.01,0.2,0.7127228525121556,0.6966195977749251,0.7727382756588363,0.7431118314424635,0.5178707224334601,0.21049550684317586
FICO,OAF,100,0.02,0.2,0.7139384116693679,0.6993185689948893,0.7726238212511578,0.7504051863857374,0.5276073619631901,0.20517674817684717
FICO,OAF,100,0.04,0.2,0.7111021069692058,0.7000420698359276,0.7723218984171085,0.7674230145867099,0.5498039215686275,0.1952553646028211
FICO,OAF,100,0.08,0.2,0.7086709886547812,0.7039934129271305,0.7712760219331481,0.807131280388979,0.6107931316434996,0.1756910222731167
FICO,OAF,100,0.16,0.2,0.6993517017828201,0.7057890563045203,0.7683929548707586,0.8642625607779578,0.7035398230088495,0.14431038912841682
FICO,OAF,100,0.32,0.2,0.6827390599675851,0.7041934265205894,0.7627004925486234,0.9339546191247974,0.8378109452736319,0.10524028091901315
FICO,OAF,100,0.64,0.2,0.6620745542949756,0.7010752688172043,0.7541604834975162,0.979740680713128,0.9419953596287703,0.07569027164212584
FICO,OAF,100,1.28,0.2,0.630064829821718,0.6899830220713074,0.7443187200050518,0.9923014586709886,0.9731258840169731,0.058965527666833925
FICO,RABIT,100,0.01,0.2,0.7127228525121556,0.6973965002134016,0.784094257809211,0.7743111831442464,0.5744843391902216,0.2123802916713629
FICO,RABIT,100,0.02,0.2,0.7115072933549432,0.6972789115646258,0.7833345173444473,0.8456239870340356,0.7069230769230769,0.15910948934790953
FICO,RABIT,100,0.04,0.2,0.7106969205834684,0.6974576271186441,0.7820222383598552,0.9072123176661264,0.8227554179566563,0.10849713640562617
FICO,RABIT,100,0.08,0.2,0.7094813614262561,0.6975959510754955,0.7803922497263619,0.9420583468395461,0.8883684621389539,0.08143827185407661
FICO,RABIT,100,0.16,0.2,0.7090761750405187,0.7000835421888053,0.7782544518817883,0.9574554294975689,0.9165341812400636,0.06656565311290588
FICO,RABIT,100,0.32,0.2,0.7106969205834684,0.7064144736842105,0.7752582459796246,0.9712317666126418,0.9418032786885245,0.058593272591104154
FICO,RABIT,100,0.64,0.2,0.6989465153970826,0.7019655034095468,0.7712036656984088,0.9821717990275527,0.9620362381363244,0.04983254465352942
FICO,RABIT,100,1.28,0.2,0.6892220421393841,0.7009746588693957,0.7652921613201988,0.9902755267423015,0.9779208831646734,0.043535260771555395
FICO,Vanilla,100,0.01,0.2,0.7119124797406807,0.7060768912773874,0.7731441283573293,0.679902755267423,0.35928629359286296,0.28700707599127007
FICO,Vanilla,100,0.02,0.2,0.7119124797406807,0.7068041237113402,0.7731717552833207,0.6904376012965965,0.3773431132844336,0.2802108818876346
FICO,Vanilla,100,0.04,0.2,0.7139384116693679,0.7116013071895425,0.7729941536162331,0.7078606158833063,0.4011627906976744,0.27300691111078595
FICO,Vanilla,100,0.08,0.2,0.7070502431118314,0.7102204408817635,0.7720962785215122,0.75,0.46672428694900603,0.24376082206150948
FICO,Vanilla,100,0.16,0.2,0.7042139384116693,0.7161741835147745,0.7689645691252,0.8282009724473258,0.6074074074074074,0.19151561374788073
FICO,Vanilla,100,0.32,0.2,0.68354943273906,0.710418984056359,0.7626018249557969,0.9181523500810372,0.7884816753926701,0.12541209531688713
FICO,Vanilla,100,0.64,0.2,0.6592382495948136,0.7031415460642428,0.7527909773090848,0.9716369529983793,0.9145299145299145,0.08565231187668283
FICO,Vanilla,100,1.28,0.2,0.6252025931928687,0.691358024691358,0.7407824734781512,0.9894651539708266,0.9603053435114504,0.06849039670146327
FICO,OAF,100,0.01,0.2,0.713128038897893,0.7027707808564232,0.7722876936515956,0.7735008103727715,0.5598425196850394,0.20438685415540717
FICO,OAF,100,0.02,0.2,0.7147487844408428,0.7064220183486238,0.772117985391934,0.7816045380875203,0.5701754385964912,0.2000330385990123
FICO,OAF,100,0.04,0.2,0.7119124797406807,0.7072869493618773,0.7718588185147764,0.7974068071312804,0.5911692559280458,0.19160668591084346
FICO,OAF,100,0.08,0.2,0.7042139384116693,0.7058823529411765,0.7704149827397491,0.8314424635332253,0.6444444444444445,0.1734072875903978
FICO,OAF,100,0.16,0.2,0.6904376012965965,0.7008613938919342,0.7664202607981814,0.8711507293354943,0.7103825136612022,0.14588667649412154
FICO,OAF,100,0.32,0.2,0.6762560777957861,0.7010849233071456,0.7583591184642586,0.9331442463533225,0.8314606741573034,0.11405893206332422
FICO,OAF,100,0.64,0.2,0.6559967585089141,0.6968939664405569,0.7463545613370379,0.9716369529983793,0.917743830787309,0.085224380267546
FICO,OAF,100,1.28,0.2,0.6333063209076175,0.6937394247038917,0.7326272680390671,0.9890599675850892,0.9612625538020086,0.0687977193887072
FICO,RABIT,100,0.01,0.2,0.7151539708265803,0.7081776670817767,0.772904694998737,0.7799837925445705,0.5631536604987932,0.25442489696693066
FICO,RABIT,100,0.02,0.2,0.7143435980551054,0.7085572550640761,0.7724212237938872,0.830226904376013,0.6601784266017843,0.19276178683577108
FICO,RABIT,100,0.04,0.2,0.710291734197731,0.7063655030800822,0.7715792603351014,0.8756077795786061,0.7477403451109285,0.1472538084572262
FICO,RABIT,100,0.08,0.2,0.7074554294975689,0.7062652563059398,0.7705853487833628,0.9145056726094003,0.8232830820770519,0.11079063397868305
FICO,RABIT,100,0.16,0.2,0.703808752025932,0.7048849414614453,0.7693842352866886,0.9371961102106969,0.8680851063829788,0.08899220106983087
FICO,RABIT,100,0.32,0.2,0.6989465153970826,0.7043374452845205,0.7680463027279617,0.9534035656401945,0.8990342405618964,0.07613510926276801
FICO,RABIT,100,0.64,0.2,0.696515397082658,0.7070786077434493,0.7651566578260502,0.9724473257698542,0.9378995433789954,0.06376460870050496
FICO,RABIT,100,1.28,0.2,0.686385737439222,0.7085843373493976,0.7598134787825209,0.9906807131280388,0.9769076305220884,0.05151669942700191
FICO,Vanilla,100,0.01,0.2,0.7167747163695299,0.7001287001287001,0.781175012629452,0.6389789303079416,0.3255109765329296,0.32448208474167534
FICO,Vanilla,100,0.02,0.2,0.720421393841167,0.7061328790459966,0.7810855540119558,0.6503241491085899,0.33819018404907975,0.3199128010826769
FICO,Vanilla,100,0.04,0.2,0.7196110210696921,0.7080168776371308,0.7805909004799192,0.6774716369529984,0.3790951638065523,0.3073580080737791
FICO,Vanilla,100,0.08,0.2,0.7147487844408428,0.7090909090909091,0.7793542666498275,0.7163695299837926,0.4318181818181818,0.2854280940980791
FICO,Vanilla,100,0.16,0.2,0.7034035656401945,0.7088305489260143,0.7762442641239371,0.7925445705024311,0.5500878734622144,0.23361026032827467
FICO,Vanilla,100,0.32,0.2,0.686385737439222,0.7085843373493976,0.769628273132946,0.8893841166936791,0.7259036144578314,0.15865786849824592
FICO,Vanilla,100,0.64,0.2,0.6596434359805511,0.70276008492569,0.7594984002694284,0.9570502431118314,0.8716707021791767,0.10750034104095038
FICO,Vanilla,100,1.28,0.2,0.6219611021069692,0.6899302093718843,0.7470925949313799,0.9854132901134521,0.9440124416796267,0.0761140007050082
FICO,OAF,100,0.01,0.2,0.706645056726094,0.6947723440134908,0.7695006630462238,0.7479740680713128,0.5140625,0.22047514794629308
FICO,OAF,100,0.02,0.2,0.7050243111831442,0.6943744752308985,0.7691053348909658,0.7617504051863857,0.537007874015748,0.2129303435680254
FICO,OAF,100,0.04,0.2,0.7034035656401945,0.6960132890365448,0.7682054864443884,0.786871961102107,0.5771704180064309,0.20142633146369138
FICO,OAF,100,0.08,0.2,0.706645056726094,0.7037643207855974,0.7661834585753979,0.8225283630470016,0.6374172185430463,0.17817986894960683
FICO,OAF,100,0.16,0.2,0.6997568881685575,0.7039552536955653,0.7619696945777554,0.8857374392220422,0.7545691906005222,0.14321051022282713
FICO,OAF,100,0.32,0.2,0.68354943273906,0.70042194092827,0.7550031047402543,0.9351701782820098,0.84688995215311,0.11388308595360598
FICO,OAF,100,0.64,0.2,0.6649108589951378,0.6985052861830113,0.7453652542729645,0.9728525121555915,0.9262926292629263,0.08545302802015602
FICO,OAF,100,1.28,0.2,0.6442463533225283,0.6942896935933147,0.7344585385619264,0.9923014586709886,0.9756410256410256,0.06557338315362436
FICO,RABIT,100,0.01,0.2,0.7196110210696921,0.7022375215146299,0.7829819451460807,0.7127228525121556,0.4661144578313253,0.25514538776377943
FICO,RABIT,100,0.02,0.2,0.7167747163695299,0.7001287001287001,0.7822781163172517,0.7941653160453809,0.615442846328539,0.19692543936185286
FICO,RABIT,100,0.04,0.2,0.7167747163695299,0.7008985879332478,0.7811460701355561,0.8683144246353323,0.752851711026616,0.1429711175144455
FICO,RABIT,100,0.08,0.2,0.713128038897893,0.7,0.7797969552496422,0.9165316045380876,0.8405572755417957,0.10776590420984031
FICO,RABIT,100,0.16,0.2,0.7119124797406807,0.7033792240300375,0.7781327618506357,0.9448946515397083,0.8916334661354581,0.08988324752070787
FICO,RABIT,100,0.32,0.2,0.7115072933549432,0.7081967213114754,0.776054164561758,0.9627228525121556,0.9240924092409241,0.07632444569139712
FICO,RABIT,100,0.64,0.2,0.7139384116693679,0.7169206094627105,0.772956659930959,0.9817666126418152,0.961139896373057,0.06499776150308229
FICO,RABIT,100,1.28,0.2,0.6973257698541329,0.712360415864459,0.7675062621032247,0.9914910858995137,0.9800947867298578,0.05660391109430015
FICO,Vanilla,100,0.01,0.2,0.7208265802269044,0.7091599831152385,0.7653960911846425,0.6474878444084279,0.32190179267342167,0.31493601588804016
FICO,Vanilla,100,0.02,0.2,0.7179902755267423,0.7080536912751678,0.7653322861412815,0.6564019448946515,0.3312302839116719,0.3098383661580942
FICO,Vanilla,100,0.04,0.2,0.713128038897893,0.7057356608478803,0.7650086564368106,0.6762560777957861,0.35874799357945425,0.2972702630889914
FICO,Vanilla,100,0.08,0.2,0.7106969205834684,0.7076167076167076,0.7641042035025679,0.7212317666126418,0.43140495867768597,0.2701190317111775
FICO,Vanilla,100,0.16,0.2,0.6997568881685575,0.7058356490670901,0.7612257409278437,0.7953808752025932,0.5542806707855251,0.21360774951275516
FICO,Vanilla,100,0.32,0.2,0.6766612641815235,0.697268588770865,0.7552839784878336,0.88290113452188,0.7155511811023622,0.1503131124073247
FICO,Vanilla,100,0.64,0.2,0.6511345218800648,0.692390139335477,0.7461802485897111,0.9546191247974068,0.8686987104337632,0.10371632681811224
FICO,Vanilla,100,1.28,0.2,0.6288492706645057,0.6897018970189702,0.7352814262860992,0.9829821717990276,0.94,0.07651371339986912
FICO,OAF,100,0.01,0.2,0.6786871961102107,0.6644096487515869,0.7370094247284666,0.7726904376012966,0.5647788983708301,0.19407602373732202
FICO,OAF,100,0.02,0.2,0.6778768233387358,0.6646984394770139,0.7368943125368359,0.7844408427876823,0.5846994535519126,0.1886817110595073
FICO,OAF,100,0.04,0.2,0.6778768233387358,0.6691635455680399,0.7363417740170077,0.8063209076175041,0.6172938350680545,0.1787326847978628
FICO,OAF,100,0.08,0.2,0.6722042139384117,0.6710044733631557,0.7353597025764083,0.8371150729335495,0.6630343671416596,0.1616440309773755
FICO,OAF,100,0.16,0.2,0.6689627228525121,0.6777120315581854,0.7330712722067863,0.8914100486223663,0.7600716204118174,0.1353843004557508
FICO,OAF,100,0.32,0.2,0.6624797406807131,0.6841107318923019,0.7286108392270775,0.9477309562398704,0.8729064039408867,0.10432787878462214
FICO,OAF,100,0.64,0.2,0.6487034035656402,0.6855277475516867,0.7218468468468469,0.9829821717990276,0.9530726256983241,0.08030955982189257
FICO,OAF,100,1.28,0.2,0.6316855753646677,0.6842653699201111,0.7137975446240633,0.9947325769854133,0.9831824062095731,0.06394019532893377
FICO,RABIT,100,0.01,0.2,0.710291734197731,0.6963906581740976,0.7759837816788752,0.826580226904376,0.6700077101002313,0.19067643875432536
FICO,RABIT,100,0.02,0.2,0.7090761750405187,0.6955046649703138,0.7755772711964302,0.8756077795786061,0.7627511591962906,0.1396880790123617
FICO,RABIT,100,0.04,0.2,0.710291734197731,0.6979298690325306,0.7751056401027197,0.9092382495948136,0.82568093385214,0.11223393579821887
FICO,RABIT,100,0.08,0.2,0.7094813614262561,0.6991187578682333,0.7746241422497264,0.9270664505672609,0.8581560283687943,0.09739468113779805
FICO,RABIT,100,0.16,0.2,0.7111021069692058,0.7037806398005816,0.7737736275995621,0.9388168557536467,0.878714859437751,0.0895996805096147
FICO,RABIT,100,0.32,0.2,0.7034035656401945,0.7,0.7721344299907384,0.960291734197731,0.9191419141914191,0.07692182501604902
FICO,RABIT,100,0.64,0.2,0.6969205834683955,0.701039168665068,0.7685100404142461,0.9760940032414911,0.948695652173913,0.06582560114739351
