dataset,method,n_estimators,gamma,cost_budget,time,accuracy,f1,AUC,recourse,validity,cost,sparsity,plausibility,unfairness
FICO,Vanilla,100,0.0,0.2,14.44219183921814,0.7240680713128039,0.7078507078507078,0.7915607634503662,0.5332252836304701,0.1279333838001514,0.37449253124210274,2.24024024024024,0.4329595728375908,0.0
FICO,OAF,100,0.0,0.2,13.196775197982788,0.7111021069692058,0.693069306930693,0.7823300812494738,0.6154781199351702,0.28592927012791575,0.31728222890188773,2.8517397881996973,0.4335825252114145,0.0
FICO,RABIT,100,0.0005,0.2,13.275801181793213,0.7220421393841167,0.7045650301464255,0.7914002641660352,0.5352512155591572,0.13759398496240602,0.39221291394232277,2.363888888888889,0.43080743141962047,0.0
FICO,RABIT,100,0.001,0.2,12.503269672393799,0.7208265802269044,0.7054296707994869,0.7899886598046645,0.5563209076175041,0.16603198781416603,0.3943757650733822,1.856934306569343,0.44311175616091897,0.0
FICO,RABIT,100,0.0015,0.2,12.44038200378418,0.7123176661264181,0.6950171821305842,0.7826780489601751,0.7743111831442464,0.5793051359516617,0.21556218161921162,1.054380664652568,0.4771273571798702,0.0
FICO,RABIT,100,0.002,0.2,12.444194078445435,0.7123176661264181,0.6968403074295474,0.7825629367685443,0.8006482982171799,0.6244274809160305,0.18404833902888895,1.049618320610687,0.47741057925273434,0.0
FICO,RABIT,100,0.0025,0.2,13.23826789855957,0.7143435980551054,0.6957272334915839,0.779315457396649,0.8363047001620746,0.697378277153558,0.15040891577347115,1.0426966292134832,0.47716354507375497,0.0
FICO,RABIT,100,0.003,0.2,13.207866907119751,0.7127228525121556,0.697912228376651,0.778902040182706,0.8346839546191248,0.6873563218390805,0.15825775734887695,1.0222222222222221,0.4771214875881647,0.0
FICO,RABIT,100,0.0035,0.2,12.76760220527649,0.7147487844408428,0.696027633851468,0.7800715800496759,0.8865478119935171,0.7904191616766467,0.11988122627653428,1.0688622754491017,0.4725303034336728,0.0
FICO,RABIT,100,0.004,0.2,12.887617111206055,0.7111021069692058,0.698009318085557,0.7800265218489518,0.9003241491085899,0.8094500387296669,0.11146593398165155,1.0426026336173508,0.471149424215289,0.0
FICO,RABIT,100,0.0045,0.2,12.627569913864136,0.7090761750405187,0.6928999144568007,0.7805320288161994,0.9015397082658023,0.815068493150685,0.11131348089313994,1.0456621004566211,0.47209766438805806,0.0
FICO,RABIT,100,0.005,0.2,12.60928225517273,0.713128038897893,0.696917808219178,0.7781255262271618,0.9080226904376013,0.8275075987841946,0.10667217741247259,1.0235562310030395,0.47289547514750774,0.0
FICO,Vanilla,100,0.0,0.2,13.07242488861084,0.7447325769854133,0.7298456260720412,0.8119323324492717,0.5393030794165316,0.13863636363636364,0.35074576126393064,2.1940298507462686,0.4354661036521873,0.0
FICO,OAF,100,0.0,0.2,13.072602987289429,0.7325769854132901,0.7157622739018088,0.8000895901742865,0.6333063209076175,0.31954887218045114,0.3210322942052773,2.794753086419753,0.4398455826459984,0.0
FICO,RABIT,100,0.0005,0.2,13.082692861557007,0.7479740680713128,0.7321274763135228,0.8121296676349247,0.5437601296596435,0.15338345864661654,0.3607415456854199,2.39058524173028,0.4353528947234196,0.0
FICO,RABIT,100,0.001,0.2,13.28209114074707,0.7406807131280388,0.7222222222222222,0.8110956312621033,0.5490275526742301,0.17433234421364985,0.4368435707401963,1.976997578692494,0.4537798149648713,0.0
FICO,RABIT,100,0.0015,0.2,12.872545957565308,0.743517017828201,0.7279759346798453,0.8101839427043867,0.7544570502431118,0.5426415094339623,0.2367117965959488,1.099622641509434,0.4708096220587499,0.0
FICO,RABIT,100,0.002,0.2,12.873508214950562,0.7439222042139384,0.7275862068965517,0.8083447787741013,0.8427876823338736,0.7087087087087087,0.1538279154294253,1.054054054054054,0.47169061125000755,0.0
FICO,RABIT,100,0.0025,0.2,12.630725145339966,0.736223662884927,0.7216759298845661,0.8064424675844069,0.779578606158833,0.5856816450875857,0.20500184562394444,1.1926884996191927,0.4739023489860966,0.0
FICO,RABIT,100,0.003,0.2,12.714818000793457,0.7402755267423015,0.7261853908586074,0.8064033294392524,0.8488654781199352,0.7154843630816171,0.14735958311422165,1.0770404271548437,0.4692698127679222,0.0
