dataset,method,n_estimators,epsilon,cost_budget,accuracy,f1,AUC,recourse,validity,cost
FICO,Vanilla,100,0.05,0.2,0.5782009724473258,0.6850226928895613,0.8036995085038309,0.9505672609400324,0.6484149855907781,0.16665054141563204
FICO,Vanilla,100,0.1,0.2,0.6247974068071313,0.7043422733077905,0.8036995085038309,0.9047811993517018,0.5480769230769231,0.21695845783929757
FICO,Vanilla,100,0.15,0.2,0.660453808752026,0.7204803202134756,0.8036995085038309,0.853322528363047,0.44648318042813456,0.2654282831812658
FICO,Vanilla,100,0.2,0.2,0.6827390599675851,0.7285961871750434,0.8036995085038309,0.8119935170178282,0.39504563233376794,0.30985657481765394
FICO,Vanilla,100,0.25,0.2,0.7078606158833063,0.7394289844597036,0.8036995085038309,0.752836304700162,0.3107344632768362,0.348161048579477
FICO,Vanilla,100,0.3,0.2,0.7216369529983793,0.7402646502835539,0.8036995085038309,0.7046191247974068,0.27606752730883816,0.3561394852901916
FICO,Vanilla,100,0.35,0.2,0.7354132901134521,0.740770146883684,0.8036995085038309,0.6446515397082658,0.22594880847308033,0.35852203341357575
FICO,Vanilla,100,0.4,0.2,0.7390599675850892,0.7351973684210527,0.8036995085038309,0.603322528363047,0.19754098360655736,0.34814606492233247
FICO,Vanilla,100,0.45,0.2,0.743517017828201,0.7272727272727273,0.8036995085038309,0.5563209076175041,0.17731029301277235,0.34351437469794693
FICO,Vanilla,100,0.5,0.2,0.7443273905996759,0.7271941201902291,0.8036995085038309,0.5518638573743923,0.1740104555638536,0.3429162807441826
FICO,OAF,100,0.05,0.2,0.6081847649918962,0.6971500156592546,0.7899715574219079,0.9485413290113452,0.7233115468409586,0.12866627454520907
FICO,OAF,100,0.1,0.2,0.6503241491085899,0.7112746738039478,0.7899715574219079,0.9055915721231766,0.6485671191553545,0.16153683071931335
FICO,OAF,100,0.15,0.2,0.6794975688816856,0.7180035650623886,0.7899715574219079,0.843192868719611,0.5430932703659976,0.1927461409112439
FICO,OAF,100,0.2,0.2,0.7050243111831442,0.7281553398058253,0.7899715574219079,0.7949756888168558,0.4804928131416838,0.2201154743473119
FICO,OAF,100,0.25,0.2,0.7212317666126418,0.7329192546583851,0.7899715574219079,0.7504051863857374,0.4275092936802974,0.245737325248475
FICO,OAF,100,0.3,0.2,0.7325769854132901,0.7312703583061889,0.7899715574219079,0.7082658022690438,0.3979933110367893,0.26336737615081024
FICO,OAF,100,0.35,0.2,0.7329821717990276,0.721588508660752,0.7899715574219079,0.6600486223662885,0.3470817120622568,0.2835307390102611
FICO,OAF,100,0.4,0.2,0.7325769854132901,0.7125435540069687,0.7899715574219079,0.6146677471636953,0.29867256637168144,0.3077254311970003
FICO,OAF,100,0.45,0.2,0.7325769854132901,0.7125435540069687,0.7899715574219079,0.6146677471636953,0.29867256637168144,0.3077254311970003
